params,sharpe_ratio,total_return,annual_return,max_drawdown,sortino_ratio,calmar_ratio,num_trades,win_rate
"{'period': 25, 'overbought': 60, 'oversold': 25}",0.4338776875463036,0.021974611508413178,0.037413828034802865,-0.0627622092872342,0.4626602621963478,0.5961203160261094,6,0.4
"{'period': 25, 'overbought': 60, 'oversold': 30}",0.4338776875463036,0.021974611508413178,0.037413828034802865,-0.0627622092872342,0.4626602621963478,0.5961203160261094,6,0.4
"{'period': 20, 'overbought': 80, 'oversold': 30}",0.3613526392382712,0.03631422690143693,0.062130057434771846,-0.2156597074334049,0.34686540665732063,0.2880930247666103,2,0.5
"{'period': 20, 'overbought': 85, 'oversold': 30}",0.3613526392382712,0.03631422690143693,0.062130057434771846,-0.2156597074334049,0.34686540665732063,0.2880930247666103,2,0.5
"{'period': 20, 'overbought': 75, 'oversold': 15}",0.21712000078053817,0.0007194750631727143,0.0012160812966841572,-0.002560660409222981,0.07034830716905138,0.4749092430624843,3,0.0
"{'period': 20, 'overbought': 75, 'oversold': 20}",0.21712000078053817,0.0007194750631727143,0.0012160812966841572,-0.002560660409222981,0.07034830716905138,0.4749092430624843,3,0.0
"{'period': 20, 'overbought': 75, 'oversold': 25}",0.21712000078053817,0.0007194750631727143,0.0012160812966841572,-0.002560660409222981,0.07034830716905138,0.4749092430624843,3,0.0
"{'period': 20, 'overbought': 75, 'oversold': 30}",0.20560478721866815,0.011805557836414682,0.02003033742340765,-0.2156597074334049,0.19254275341855384,0.09287936843553848,4,0.25
"{'period': 25, 'overbought': 65, 'oversold': 35}",0.1431172154424556,0.0007059433688749728,0.0011932039986242149,-0.2642782794056767,0.1661458210016928,0.004514952955299832,9,0.375
"{'period': 20, 'overbought': 70, 'oversold': 30}",0.011433171110130988,-0.017742520323347,-0.029797762102750425,-0.2156597074334049,0.01067643355810626,-0.13817027973086668,6,0.4
"{'period': 20, 'overbought': 80, 'oversold': 35}",-0.12365910584382016,-0.041734123336349516,-0.06950336242987187,-0.3277702974132628,-0.13734614401421458,-0.21204899583149206,10,0.3
"{'period': 20, 'overbought': 85, 'oversold': 35}",-0.12365910584382016,-0.041734123336349516,-0.06950336242987187,-0.3277702974132628,-0.13734614401421458,-0.21204899583149206,10,0.3
"{'period': 25, 'overbought': 70, 'oversold': 35}",-0.24987846728146726,-0.05906911118104452,-0.09776960622808395,-0.2642782794056767,-0.27803857829886236,-0.3699494580029563,12,0.4166666666666667
"{'period': 20, 'overbought': 75, 'oversold': 35}",-0.2839179974115442,-0.06439358681823415,-0.1063800736843713,-0.3277702974132628,-0.3031163527617826,-0.32455678419891737,12,0.3333333333333333
"{'period': 20, 'overbought': 65, 'oversold': 30}",-0.3138373284691252,-0.06701030540839414,-0.11059933598237848,-0.22855362109248456,-0.31725501750231555,-0.48390979523192196,9,0.3333333333333333
"{'period': 20, 'overbought': 60, 'oversold': 35}",-0.31854225010527715,-0.07028224182652065,-0.11586361322997973,-0.33035399706351576,-0.34713867512532,-0.35072562844669664,16,0.3125
"{'period': 20, 'overbought': 60, 'oversold': 30}",-0.32639177203103514,-0.07231124183018234,-0.11912169665218941,-0.2608322025134323,-0.3536473384851727,-0.4566985805598712,8,0.25
"{'period': 20, 'overbought': 65, 'oversold': 35}",-0.3785056080345998,-0.07620301545226649,-0.12535719516927157,-0.31963373276549667,-0.4000496683328526,-0.3921901298860764,17,0.35294117647058826
"{'period': 20, 'overbought': 70, 'oversold': 35}",-0.4638089034738716,-0.09170426794298714,-0.15001389166759582,-0.3277702974132628,-0.5028515261713179,-0.4576799449233001,14,0.38461538461538464
